epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20233.2,0.67543,0.61363,0.92731,0.97715,0.89101,0.91991,0.82159,0.55671,0.73237,0.93182,0.000456863,0.000456863,0.000456863
43,20824.2,0.62913,0.62272,0.89469,0.94729,0.74254,0.76924,0.6826,0.53042,0.73583,0.8597,0.00044925,0.00044925,0.00044925
44,21473.2,0.66102,0.59485,0.92564,0.97793,0.86531,0.92571,0.8284,0.62361,0.72784,0.94608,0.000441637,0.000441637,0.000441637
45,22079.3,0.63519,0.57192,0.92119,0.93482,0.72815,0.7661,0.69551,0.58944,0.67332,0.91104,0.000434024,0.000434024,0.000434024
46,147.106,0.70903,0.6271,0.96921,0.98089,0.9022,0.94896,0.83874,0.56756,0.67397,1.16568,0.000426411,0.000426411,0.000426411
47,240.103,0.67794,0.57368,0.92679,0.95671,0.89057,0.92825,0.82106,0.55316,0.76541,0.85973,0.000418797,0.000418797,0.000418797
48,367.611,0.65986,0.61849,0.91619,0.96719,0.86324,0.92436,0.8238,0.53157,0.81006,0.88568,0.000411184,0.000411184,0.000411184
49,475.238,0.63419,0.55358,0.9134,0.94911,0.89388,0.9305,0.83191,0.55368,0.71304,0.93159,0.000403571,0.000403571,0.000403571
50,671.46,0.63093,0.55207,0.90531,0.97059,0.89522,0.92198,0.82765,0.56374,0.66064,0.94462,0.000395958,0.000395958,0.000395958
51,850.328,0.60144,0.5424,0.90895,0.96675,0.88457,0.92407,0.83606,0.54397,0.705,0.99025,0.000388345,0.000388345,0.000388345
52,996.093,0.63415,0.57647,0.92077,0.96824,0.89163,0.91749,0.82963,0.53184,0.68238,0.94431,0.000380732,0.000380732,0.000380732
53,1149.66,0.64744,0.56468,0.92281,0.95012,0.55795,0.60155,0.55702,0.56672,0.66422,0.97007,0.000373119,0.000373119,0.000373119
54,1337.27,0.60012,0.52706,0.90768,0.943,0.89968,0.89332,0.79852,0.6364,0.70816,1.0733,0.000365506,0.000365506,0.000365506
55,1505.74,0.57605,0.50678,0.8884,0.93134,0.89074,0.87885,0.77729,0.55223,0.77535,0.91354,0.000357893,0.000357893,0.000357893
56,1693.59,0.58724,0.51133,0.90231,0.97249,0.89083,0.92543,0.82705,0.54916,0.69763,0.89091,0.00035028,0.00035028,0.00035028
57,1882.21,0.5678,0.51631,0.8976,0.95419,0.88988,0.92391,0.80984,0.56137,0.72752,0.88823,0.000342666,0.000342666,0.000342666
58,2075.92,0.57098,0.49818,0.89537,0.95552,0.89093,0.9314,0.82502,0.57627,0.71077,0.96822,0.000335053,0.000335053,0.000335053
59,2322.91,0.55929,0.49642,0.86884,0.94937,0.89182,0.92233,0.81613,0.55539,0.69455,0.93948,0.00032744,0.00032744,0.00032744
60,2562.66,0.56832,0.50959,0.89758,0.9672,0.88262,0.92362,0.83617,0.54314,0.71092,1.02705,0.000319827,0.000319827,0.000319827
61,2821.18,0.55341,0.47866,0.86483,0.96267,0.89,0.93221,0.82134,0.58346,0.7154,1.03344,0.000312214,0.000312214,0.000312214
62,3079.87,0.55811,0.48158,0.89083,0.97621,0.89069,0.92606,0.83965,0.51705,0.64162,0.93205,0.000304601,0.000304601,0.000304601
63,3356.6,0.55825,0.48771,0.89319,0.9826,0.89151,0.9232,0.84398,0.49897,0.6273,0.86072,0.000296988,0.000296988,0.000296988
64,3652.74,0.51924,0.46013,0.85621,0.97626,0.88321,0.91867,0.8313,0.51591,0.64531,0.90408,0.000289375,0.000289375,0.000289375
65,3968.44,0.55299,0.4474,0.87063,0.97901,0.89189,0.92148,0.82782,0.51137,0.60892,0.85164,0.000281762,0.000281762,0.000281762
66,4447.76,0.53645,0.46317,0.87594,0.98262,0.89112,0.9218,0.83363,0.50302,0.63017,0.89168,0.000274148,0.000274148,0.000274148
67,4875.98,0.51819,0.44566,0.87917,0.96539,0.89453,0.91914,0.82595,0.53664,0.71854,0.98308,0.000266535,0.000266535,0.000266535
68,5161.88,0.52124,0.44115,0.87632,0.96362,0.8927,0.91948,0.82805,0.52064,0.63526,0.92588,0.000258922,0.000258922,0.000258922
69,5742.52,0.52964,0.45356,0.88421,0.96327,0.88536,0.91708,0.82598,0.51435,0.62584,0.87491,0.000251309,0.000251309,0.000251309
70,6320.98,0.50171,0.42771,0.84466,0.96881,0.89136,0.91656,0.81607,0.50018,0.66688,0.84872,0.000243696,0.000243696,0.000243696
71,6784.59,0.52325,0.46809,0.88356,0.96246,0.88903,0.91924,0.8171,0.52941,0.65437,0.91151,0.000236083,0.000236083,0.000236083
72,7206.97,0.50478,0.51585,0.87858,0.93755,0.89415,0.92008,0.82603,0.51201,0.61497,0.89602,0.00022847,0.00022847,0.00022847
73,7560.26,0.497,0.43788,0.84923,0.95383,0.89293,0.9203,0.83012,0.53312,0.65576,0.93868,0.000220857,0.000220857,0.000220857
74,8052.04,0.50491,0.4184,0.86729,0.961,0.89056,0.91992,0.82647,0.52633,0.65899,0.91043,0.000213244,0.000213244,0.000213244
75,8481.58,0.48734,0.51637,0.89261,0.95446,0.89171,0.92016,0.82811,0.51497,0.60673,0.87189,0.000205631,0.000205631,0.000205631
76,8968.36,0.51389,0.42167,0.88001,0.94616,0.77061,0.79599,0.70528,0.49366,0.63787,0.86548,0.000198018,0.000198018,0.000198018
77,9283.16,0.46601,0.40722,0.86316,0.95932,0.89332,0.92257,0.83945,0.49352,0.62467,0.8616,0.000190404,0.000190404,0.000190404
78,9734.56,0.48924,0.40654,0.86812,0.97129,0.73345,0.77832,0.71956,0.51466,0.62642,0.87175,0.000182791,0.000182791,0.000182791
79,10513.6,0.48848,0.42522,0.85976,0.92771,0.51087,0.57972,0.51934,0.54824,0.65051,0.92456,0.000175178,0.000175178,0.000175178
80,11493.9,0.47228,0.40111,0.86105,0.94965,0.73475,0.77498,0.70171,0.54944,0.67252,1.01204,0.000167565,0.000167565,0.000167565
81,150.569,0.49116,0.41814,0.87909,0.96699,0.89237,0.92391,0.83024,0.49138,0.56236,0.88648,0.000159952,0.000159952,0.000159952
82,302.689,0.47344,0.38652,0.8568,0.96527,0.89052,0.92542,0.819,0.4915,0.63876,0.84465,0.000152339,0.000152339,0.000152339
83,508.577,0.44982,0.40543,0.83659,0.96466,0.88677,0.92503,0.83556,0.47939,0.65504,0.86377,0.000144726,0.000144726,0.000144726
84,721.618,0.44429,0.38412,0.84846,0.95867,0.89135,0.92607,0.83649,0.48793,0.65957,0.88725,0.000137113,0.000137113,0.000137113
85,902.254,0.43592,0.37568,0.84704,0.96561,0.89369,0.9256,0.83873,0.49582,0.61792,0.87994,0.0001295,0.0001295,0.0001295
86,1108.76,0.4273,0.37913,0.8523,0.96271,0.89034,0.93058,0.84479,0.50382,0.65229,0.98268,0.000121887,0.000121887,0.000121887
87,1327.98,0.45924,0.38583,0.86781,0.93912,0.89127,0.9284,0.84848,0.48946,0.65309,0.97651,0.000114273,0.000114273,0.000114273
88,1547.49,0.46464,0.38899,0.86721,0.93803,0.8915,0.92715,0.84231,0.49884,0.66186,0.91111,0.00010666,0.00010666,0.00010666
89,1829.48,0.4257,0.36159,0.85451,0.93928,0.89219,0.91764,0.83315,0.50046,0.65095,0.87143,9.90472e-05,9.90472e-05,9.90472e-05
90,2133.49,0.41193,0.35774,0.8392,0.94144,0.89155,0.92149,0.83644,0.49014,0.63115,0.89154,9.14341e-05,9.14341e-05,9.14341e-05
91,2364.98,0.44918,0.34472,0.85686,0.92697,0.89003,0.93002,0.83729,0.52822,0.66368,1.06331,8.3821e-05,8.3821e-05,8.3821e-05
92,2614.05,0.43674,0.34272,0.84687,0.93948,0.89011,0.92477,0.83503,0.51781,0.65886,1.07915,7.62079e-05,7.62079e-05,7.62079e-05
93,2907.06,0.43532,0.35349,0.84317,0.95727,0.89389,0.92644,0.83663,0.5186,0.63281,0.99665,6.85948e-05,6.85948e-05,6.85948e-05
94,126.963,0.39635,0.34116,0.80396,0.9555,0.89293,0.9265,0.83594,0.51272,0.58966,0.93422,6.09817e-05,6.09817e-05,6.09817e-05
95,366.84,0.41427,0.34401,0.85222,0.95106,0.89177,0.92783,0.83685,0.49579,0.58759,0.90532,5.33686e-05,5.33686e-05,5.33686e-05
96,561.163,0.42263,0.32778,0.83403,0.9524,0.89246,0.926,0.8338,0.49572,0.60184,0.89142,4.57555e-05,4.57555e-05,4.57555e-05
97,794.732,0.43476,0.32884,0.85368,0.95524,0.89246,0.92896,0.84161,0.49999,0.60178,0.90545,3.81424e-05,3.81424e-05,3.81424e-05
98,1062.33,0.4157,0.32148,0.83384,0.95382,0.89347,0.92649,0.83848,0.49461,0.61252,0.88987,3.05293e-05,3.05293e-05,3.05293e-05
99,1329.82,0.40735,0.3298,0.85493,0.9516,0.89319,0.92675,0.83868,0.49353,0.62686,0.89145,2.29162e-05,2.29162e-05,2.29162e-05
100,122.619,0.32619,0.29514,0.78615,0.95052,0.89326,0.9273,0.83719,0.49634,0.63317,0.9068,1.53031e-05,1.53031e-05,1.53031e-05
